name,product,quantity,unitary_value
Vlad P.,Product 10,341,5
D. Trump,Product 8,1086,1.15
John Doo,Product 3,145,0.6
Meliana T.,Product 3,1077,0.6
John Doo,Product 4,57,0.7
Homer J. S.,Product 3,941,0.6
Jack S.,Product 8,807,1.15
Vlad P.,Product 5,2500,0.75
Jack S.,Product 5,2039,0.75
Meliana T.,Product 2,1895,0.55
Jack S.,Product 6,1377,0.8
Bart S.,Product 6,2290,0.8
Winston C,Product 9,864,2
D. Trump,Product 10,2425,5
Meliana T.,Product 3,1450,0.6
Homer J. S.,Product 3,1386,0.6
Meliana T.,Product 9,2037,2
D. Trump,Product 3,1946,0.6
D. Trump,Product 9,833,2
Bart S.,Product 7,1826,1
Bart S.,Product 7,1458,1
Vlad P.,Product 2,2199,0.55
Vlad P.,Product 8,1561,1.15
Winston C,Product 6,812,0.8
Bart S.,Product 4,2347,0.7
John Doo,Product 7,640,1
Jack S.,Product 10,664,5
D. Trump,Product 9,148,2
Meliana T.,Product 1,1685,0.5
John Doo,Product 3,2466,0.6
D. Trump,Product 2,2385,0.55
Bart S.,Product 9,1282,2
Winston C,Product 10,1418,5
Jack S.,Product 8,1315,1.15
Homer J. S.,Product 6,1822,0.8
Jack S.,Product 8,1690,1.15
Jack S.,Product 3,2307,0.6
Homer J. S.,Product 1,1930,0.5
John Doo,Product 3,528,0.6
Meliana T.,Product 2,44,0.55
D. Trump,Product 10,2218,5
Jack S.,Product 7,1302,1
Bart S.,Product 1,1440,0.5
Homer J. S.,Product 9,1174,2
Bart S.,Product 5,2288,0.75
Jack S.,Product 9,2111,2
Homer J. S.,Product 2,2056,0.55
Bart S.,Product 9,2003,2
Winston C,Product 5,205,0.75
Jack S.,Product 1,1318,0.5
John Doo,Product 7,638,1
Winston C,Product 3,2481,0.6
John Doo,Product 7,929,1
John Doo,Product 7,1673,1
Bart S.,Product 7,1025,1
John Doo,Product 2,637,0.55
Meliana T.,Product 1,1099,0.5
Vlad P.,Product 6,1070,0.8
Homer J. S.,Product 10,2004,5
John Doo,Product 6,1224,0.8
Bart S.,Product 3,1311,0.6
Jack S.,Product 4,1979,0.7
Bart S.,Product 7,2389,1
Bart S.,Product 9,1857,2
Homer J. S.,Product 3,1168,0.6
Jack S.,Product 10,1927,5
Winston C,Product 9,737,2
Homer J. S.,Product 7,1460,1
D. Trump,Product 8,901,1.15
Winston C,Product 4,2069,0.7
Jack S.,Product 5,1501,0.75
John Doo,Product 4,609,0.7
Homer J. S.,Product 8,504,1.15
Meliana T.,Product 2,1419,0.55
Bart S.,Product 9,538,2
Jack S.,Product 4,2300,0.7
D. Trump,Product 6,1087,0.8
John Doo,Product 1,2286,0.5
Meliana T.,Product 5,984,0.75
Bart S.,Product 3,1983,0.6
Homer J. S.,Product 4,1445,0.7
D. Trump,Product 8,687,1.15
Vlad P.,Product 2,1259,0.55
John Doo,Product 4,262,0.7
Vlad P.,Product 7,1508,1
Jack S.,Product 5,537,0.75
Meliana T.,Product 4,1549,0.7
Vlad P.,Product 10,2044,5
John Doo,Product 1,2263,0.5
Homer J. S.,Product 1,1048,0.5
Homer J. S.,Product 8,1501,1.15
Jack S.,Product 7,298,1
Meliana T.,Product 7,661,1
Winston C,Product 5,376,0.75
Vlad P.,Product 9,2257,2
Vlad P.,Product 1,631,0.5
Jack S.,Product 5,2270,0.75
John Doo,Product 10,1597,5
Vlad P.,Product 3,958,0.6
Vlad P.,Product 10,340,5
John Doo,Product 6,1141,0.8
Bart S.,Product 4,337,0.7
John Doo,Product 9,976,2
John Doo,Product 9,646,2
Jack S.,Product 4,1693,0.7
Jack S.,Product 7,664,1
Meliana T.,Product 3,541,0.6
Winston C,Product 4,1225,0.7
D. Trump,Product 7,810,1
Bart S.,Product 6,736,0.8
Jack S.,Product 9,1327,2
D. Trump,Product 7,1017,1
D. Trump,Product 10,1467,5
Winston C,Product 3,2111,0.6
Bart S.,Product 1,1159,0.5
Vlad P.,Product 2,1299,0.55
Jack S.,Product 8,205,1.15
Meliana T.,Product 6,2142,0.8
D. Trump,Product 5,1269,0.75
Meliana T.,Product 9,678,2
Jack S.,Product 6,297,0.8
Jack S.,Product 9,1206,2
D. Trump,Product 3,2175,0.6
Bart S.,Product 5,330,0.75
John Doo,Product 6,2301,0.8
Vlad P.,Product 3,1260,0.6
Homer J. S.,Product 1,2382,0.5
Vlad P.,Product 7,1652,1
Vlad P.,Product 9,1030,2
John Doo,Product 6,2419,0.8
D. Trump,Product 10,1070,5
Winston C,Product 1,88,0.5
John Doo,Product 1,75,0.5
Homer J. S.,Product 9,169,2
Vlad P.,Product 10,725,5
Bart S.,Product 7,77,1
Homer J. S.,Product 1,668,0.5
Homer J. S.,Product 4,180,0.7
Jack S.,Product 9,1741,2
Bart S.,Product 9,750,2
Homer J. S.,Product 8,2368,1.15
Homer J. S.,Product 4,2399,0.7
Homer J. S.,Product 10,259,5
Bart S.,Product 1,56,0.5
Winston C,Product 7,582,1
Winston C,Product 9,142,2
Winston C,Product 6,611,0.8
Homer J. S.,Product 9,139,2
Vlad P.,Product 6,1448,0.8
John Doo,Product 8,2074,1.15
Bart S.,Product 3,1917,0.6
Homer J. S.,Product 2,755,0.55
John Doo,Product 4,2086,0.7
Bart S.,Product 1,1275,0.5
Winston C,Product 2,749,0.55
John Doo,Product 8,59,1.15
Jack S.,Product 6,1229,0.8
Bart S.,Product 5,101,0.75
Winston C,Product 9,1302,2
Jack S.,Product 2,2357,0.55
Vlad P.,Product 4,135,0.7
John Doo,Product 3,1017,0.6
Winston C,Product 1,2139,0.5
D. Trump,Product 6,2145,0.8
Bart S.,Product 1,2347,0.5
Jack S.,Product 9,1382,2
Vlad P.,Product 1,2029,0.5
D. Trump,Product 6,1175,0.8
John Doo,Product 4,791,0.7
D. Trump,Product 5,95,0.75
D. Trump,Product 1,1252,0.5
Homer J. S.,Product 6,1921,0.8
Meliana T.,Product 9,683,2
Meliana T.,Product 5,917,0.75
D. Trump,Product 3,198,0.6
Jack S.,Product 3,1534,0.6
Jack S.,Product 7,2458,1
Vlad P.,Product 5,1491,0.75
Bart S.,Product 7,1014,1
Jack S.,Product 9,863,2
Winston C,Product 6,1572,0.8
Meliana T.,Product 1,1846,0.5
Jack S.,Product 7,601,1
D. Trump,Product 7,1398,1
John Doo,Product 9,115,2
D. Trump,Product 1,1521,0.5
D. Trump,Product 2,1733,0.55
Jack S.,Product 9,1811,2
Vlad P.,Product 5,2301,0.75
Vlad P.,Product 5,772,0.75
John Doo,Product 2,1856,0.55
John Doo,Product 4,1895,0.7
Meliana T.,Product 7,125,1
Vlad P.,Product 2,2372,0.55
Winston C,Product 3,2260,0.6
Winston C,Product 1,2420,0.5
Bart S.,Product 9,2035,2
Vlad P.,Product 8,949,1.15
John Doo,Product 5,2410,0.75
Winston C,Product 9,2498,2
Meliana T.,Product 3,765,0.6
Jack S.,Product 1,751,0.5
Homer J. S.,Product 6,441,0.8
Bart S.,Product 10,0,5
Vlad P.,Product 1,797,0.5
D. Trump,Product 5,1956,0.75
Homer J. S.,Product 9,1770,2
Winston C,Product 9,544,2
Meliana T.,Product 9,1779,2
Bart S.,Product 2,165,0.55
Bart S.,Product 8,1527,1.15
Homer J. S.,Product 3,1547,0.6
D. Trump,Product 9,2244,2
Winston C,Product 2,1142,0.55
Jack S.,Product 4,1905,0.7
Winston C,Product 4,170,0.7
Jack S.,Product 3,602,0.6
Vlad P.,Product 8,2414,1.15
Winston C,Product 6,2166,0.8
Jack S.,Product 3,1117,0.6
D. Trump,Product 6,2314,0.8
Jack S.,Product 1,1786,0.5
D. Trump,Product 2,2321,0.55
Winston C,Product 10,479,5
Winston C,Product 8,1382,1.15
Winston C,Product 6,895,0.8
Vlad P.,Product 8,105,1.15
Vlad P.,Product 7,332,1
Bart S.,Product 10,882,5
D. Trump,Product 3,696,0.6
Homer J. S.,Product 9,2248,2
John Doo,Product 6,857,0.8
Bart S.,Product 1,353,0.5
Winston C,Product 8,2425,1.15
Winston C,Product 6,158,0.8
Homer J. S.,Product 4,1563,0.7
Homer J. S.,Product 3,2164,0.6
Meliana T.,Product 9,1893,2
D. Trump,Product 5,1241,0.75
Bart S.,Product 2,1208,0.55
Winston C,Product 4,2390,0.7
D. Trump,Product 9,1328,2
Bart S.,Product 6,1192,0.8
Winston C,Product 2,123,0.55
D. Trump,Product 5,2386,0.75
Vlad P.,Product 1,1254,0.5
Meliana T.,Product 5,2389,0.75
Vlad P.,Product 10,1933,5
Winston C,Product 5,1505,0.75
Homer J. S.,Product 3,1854,0.6
Meliana T.,Product 4,1992,0.7
Winston C,Product 2,991,0.55
D. Trump,Product 6,1025,0.8
Jack S.,Product 1,1771,0.5
Bart S.,Product 2,2128,0.55
Winston C,Product 10,93,5
D. Trump,Product 9,1232,2
Homer J. S.,Product 3,2042,0.6
Bart S.,Product 9,897,2
Meliana T.,Product 8,2274,1.15
John Doo,Product 6,1319,0.8
Bart S.,Product 2,2299,0.55
Jack S.,Product 2,288,0.55
Homer J. S.,Product 9,754,2
John Doo,Product 6,999,0.8
Vlad P.,Product 6,1626,0.8
Jack S.,Product 5,1693,0.75
Jack S.,Product 5,1563,0.75
Homer J. S.,Product 5,1475,0.75
D. Trump,Product 3,120,0.6
John Doo,Product 9,983,2
Homer J. S.,Product 10,522,5
Meliana T.,Product 2,2371,0.55
John Doo,Product 10,1194,5
Vlad P.,Product 9,1387,2
Meliana T.,Product 1,1533,0.5
Vlad P.,Product 2,229,0.55
John Doo,Product 9,2366,2
D. Trump,Product 6,1162,0.8
D. Trump,Product 10,797,5
John Doo,Product 7,1599,1
Homer J. S.,Product 1,2054,0.5
Meliana T.,Product 10,2014,5
Winston C,Product 8,966,1.15
Vlad P.,Product 2,1276,0.55
Homer J. S.,Product 6,2009,0.8
Winston C,Product 1,1814,0.5
D. Trump,Product 1,975,0.5
Winston C,Product 1,1250,0.5
Vlad P.,Product 10,635,5
Bart S.,Product 2,1876,0.55
Meliana T.,Product 6,1210,0.8
D. Trump,Product 8,2288,1.15
Homer J. S.,Product 9,1465,2
Homer J. S.,Product 2,1023,0.55
D. Trump,Product 3,719,0.6
Jack S.,Product 2,1159,0.55
John Doo,Product 10,1609,5
Winston C,Product 5,2006,0.75
Winston C,Product 3,1713,0.6
Jack S.,Product 9,249,2
Vlad P.,Product 9,1139,2
Bart S.,Product 5,1200,0.75
Meliana T.,Product 7,2299,1
John Doo,Product 8,1808,1.15
D. Trump,Product 8,1370,1.15
Homer J. S.,Product 3,1357,0.6
Winston C,Product 5,839,0.75
Bart S.,Product 6,28,0.8
D. Trump,Product 8,1890,1.15
Jack S.,Product 9,600,2
Meliana T.,Product 9,1481,2
Bart S.,Product 9,1272,2
Bart S.,Product 9,1166,2
Vlad P.,Product 1,882,0.5
Vlad P.,Product 5,2240,0.75
Homer J. S.,Product 10,2210,5
Homer J. S.,Product 7,1052,1
D. Trump,Product 8,2461,1.15
D. Trump,Product 5,408,0.75
Meliana T.,Product 7,1540,1
Meliana T.,Product 2,1922,0.55
Meliana T.,Product 8,1061,1.15
Bart S.,Product 5,144,0.75
Bart S.,Product 10,516,5
Vlad P.,Product 10,513,5
Jack S.,Product 1,653,0.5
Jack S.,Product 7,1952,1
Homer J. S.,Product 3,2460,0.6
D. Trump,Product 9,267,2
Homer J. S.,Product 3,2227,0.6
Winston C,Product 1,2101,0.5
John Doo,Product 2,1844,0.55
Jack S.,Product 2,1914,0.55
D. Trump,Product 7,1559,1
Vlad P.,Product 7,145,1
D. Trump,Product 4,306,0.7
Homer J. S.,Product 5,180,0.75
Homer J. S.,Product 6,1982,0.8
Vlad P.,Product 8,1205,1.15
Jack S.,Product 4,1739,0.7
John Doo,Product 3,230,0.6
Winston C,Product 3,927,0.6
Winston C,Product 3,887,0.6
Winston C,Product 7,111,1
Meliana T.,Product 3,702,0.6
Winston C,Product 5,1895,0.75
Winston C,Product 6,2365,0.8
Meliana T.,Product 1,2336,0.5
Meliana T.,Product 1,2294,0.5
Jack S.,Product 9,1267,2
Homer J. S.,Product 6,1348,0.8
D. Trump,Product 6,2471,0.8
Vlad P.,Product 4,1340,0.7
D. Trump,Product 1,125,0.5
Homer J. S.,Product 6,800,0.8
Jack S.,Product 10,917,5
Winston C,Product 9,2350,2
Winston C,Product 9,747,2
Homer J. S.,Product 8,789,1.15
Vlad P.,Product 5,2284,0.75
Vlad P.,Product 6,997,0.8
John Doo,Product 2,727,0.55
Bart S.,Product 7,2113,1
D. Trump,Product 5,261,0.75
Jack S.,Product 10,515,5
Winston C,Product 3,1393,0.6
Jack S.,Product 5,2214,0.75
Jack S.,Product 8,2153,1.15
D. Trump,Product 9,456,2
John Doo,Product 10,738,5
Winston C,Product 3,494,0.6
D. Trump,Product 10,1109,5
Bart S.,Product 5,2208,0.75
Meliana T.,Product 10,110,5
Homer J. S.,Product 4,479,0.7
Homer J. S.,Product 6,1654,0.8
Jack S.,Product 8,183,1.15
Homer J. S.,Product 3,637,0.6
Vlad P.,Product 3,575,0.6
Meliana T.,Product 2,121,0.55
Homer J. S.,Product 2,1504,0.55
D. Trump,Product 1,461,0.5
Winston C,Product 6,1725,0.8
Meliana T.,Product 7,1371,1
Homer J. S.,Product 7,1067,1
John Doo,Product 4,1265,0.7
John Doo,Product 8,2325,1.15
Jack S.,Product 9,1216,2
Winston C,Product 7,1269,1
John Doo,Product 6,666,0.8
Meliana T.,Product 3,15,0.6
Meliana T.,Product 7,158,1
Vlad P.,Product 9,2147,2
D. Trump,Product 5,1670,0.75
John Doo,Product 9,368,2
Jack S.,Product 8,1237,1.15
John Doo,Product 8,373,1.15
John Doo,Product 3,2381,0.6
Bart S.,Product 3,1316,0.6
Winston C,Product 6,1219,0.8
D. Trump,Product 7,143,1
Winston C,Product 4,2445,0.7
Jack S.,Product 1,2493,0.5
Homer J. S.,Product 10,2225,5
Meliana T.,Product 1,2439,0.5
Winston C,Product 2,626,0.55
Bart S.,Product 5,589,0.75
Jack S.,Product 2,877,0.55
John Doo,Product 4,863,0.7
D. Trump,Product 2,1924,0.55
Vlad P.,Product 3,1126,0.6
Bart S.,Product 10,1682,5
D. Trump,Product 10,133,5
Bart S.,Product 5,1386,0.75
Meliana T.,Product 6,2228,0.8
Jack S.,Product 4,1309,0.7
D. Trump,Product 7,745,1
Jack S.,Product 8,1272,1.15
Jack S.,Product 1,1155,0.5
Jack S.,Product 2,866,0.55
John Doo,Product 7,66,1
Jack S.,Product 1,226,0.5
Winston C,Product 6,1981,0.8
Meliana T.,Product 1,404,0.5
Meliana T.,Product 7,27,1
Jack S.,Product 4,2421,0.7
Homer J. S.,Product 2,898,0.55
Homer J. S.,Product 8,2383,1.15
D. Trump,Product 9,2140,2
D. Trump,Product 10,1187,5
D. Trump,Product 9,33,2
Bart S.,Product 5,2209,0.75
Winston C,Product 4,195,0.7
John Doo,Product 3,1429,0.6
Vlad P.,Product 7,153,1
Jack S.,Product 6,1431,0.8
D. Trump,Product 4,2115,0.7
Meliana T.,Product 3,862,0.6
Jack S.,Product 1,473,0.5
Winston C,Product 5,1777,0.75
Vlad P.,Product 10,1852,5
John Doo,Product 1,1676,0.5
Vlad P.,Product 5,2200,0.75
Meliana T.,Product 6,20,0.8
Winston C,Product 1,2284,0.5
John Doo,Product 9,1178,2
Winston C,Product 6,2408,0.8
Vlad P.,Product 3,7,0.6
Meliana T.,Product 9,68,2
Jack S.,Product 5,8,0.75
Vlad P.,Product 1,1070,0.5
Meliana T.,Product 2,1585,0.55
Jack S.,Product 4,1290,0.7
D. Trump,Product 8,885,1.15
Bart S.,Product 3,758,0.6
Homer J. S.,Product 8,904,1.15
Jack S.,Product 1,2353,0.5
John Doo,Product 9,352,2
Homer J. S.,Product 7,2290,1
Bart S.,Product 9,369,2
Winston C,Product 3,1316,0.6
D. Trump,Product 2,1974,0.55
Winston C,Product 7,1450,1
John Doo,Product 4,1350,0.7
John Doo,Product 10,2321,5
Vlad P.,Product 6,598,0.8
Bart S.,Product 9,913,2
Jack S.,Product 2,656,0.55
Bart S.,Product 1,1156,0.5
Jack S.,Product 9,1901,2
Homer J. S.,Product 8,1745,1.15
Meliana T.,Product 3,1299,0.6
D. Trump,Product 5,1390,0.75
John Doo,Product 8,2078,1.15
D. Trump,Product 10,244,5
Bart S.,Product 7,1236,1
D. Trump,Product 6,1751,0.8
John Doo,Product 2,741,0.55
Jack S.,Product 1,914,0.5
Jack S.,Product 8,487,1.15
John Doo,Product 2,636,0.55
Vlad P.,Product 2,1895,0.55
Winston C,Product 8,313,1.15
Homer J. S.,Product 3,1410,0.6
Homer J. S.,Product 7,1889,1
D. Trump,Product 1,351,0.5
Bart S.,Product 5,2467,0.75
Vlad P.,Product 6,152,0.8
John Doo,Product 5,1140,0.75
Vlad P.,Product 10,1244,5
Winston C,Product 5,1751,0.75
Homer J. S.,Product 6,120,0.8
Homer J. S.,Product 5,484,0.75
Vlad P.,Product 7,2308,1
John Doo,Product 10,1364,5
Meliana T.,Product 7,1408,1
Bart S.,Product 6,1254,0.8
Vlad P.,Product 2,1699,0.55
Bart S.,Product 2,1709,0.55
Jack S.,Product 4,1468,0.7
Jack S.,Product 5,2497,0.75
John Doo,Product 5,1914,0.75
D. Trump,Product 3,1285,0.6
Bart S.,Product 5,1141,0.75
John Doo,Product 8,1846,1.15
Jack S.,Product 7,1458,1
Meliana T.,Product 1,296,0.5
Vlad P.,Product 7,2077,1
Jack S.,Product 3,1492,0.6
Jack S.,Product 3,1502,0.6
Vlad P.,Product 9,2072,2
Vlad P.,Product 10,733,5
D. Trump,Product 8,385,1.15
Bart S.,Product 8,772,1.15
Jack S.,Product 1,1036,0.5
Homer J. S.,Product 9,2317,2
Homer J. S.,Product 6,1133,0.8
Homer J. S.,Product 3,101,0.6
Homer J. S.,Product 2,1854,0.55
Vlad P.,Product 6,950,0.8
Winston C,Product 6,1712,0.8
John Doo,Product 6,1509,0.8
Winston C,Product 10,73,5
D. Trump,Product 1,2118,0.5
Bart S.,Product 8,870,1.15
D. Trump,Product 4,771,0.7
Homer J. S.,Product 5,1698,0.75
Winston C,Product 5,283,0.75
Jack S.,Product 10,2201,5
Homer J. S.,Product 7,1573,1
Bart S.,Product 6,1893,0.8
Bart S.,Product 1,699,0.5
Jack S.,Product 6,1071,0.8
Winston C,Product 7,2388,1
Jack S.,Product 7,1886,1
Vlad P.,Product 8,1017,1.15
Jack S.,Product 9,73,2
Homer J. S.,Product 7,1961,1
Bart S.,Product 5,1366,0.75
Meliana T.,Product 2,1814,0.55
John Doo,Product 7,1594,1
Bart S.,Product 4,2056,0.7
Homer J. S.,Product 5,2099,0.75
D. Trump,Product 4,1952,0.7
John Doo,Product 6,2354,0.8
Homer J. S.,Product 3,2277,0.6
D. Trump,Product 2,121,0.55
Jack S.,Product 1,1776,0.5
Meliana T.,Product 10,15,5
D. Trump,Product 4,1004,0.7
Vlad P.,Product 2,2339,0.55
Meliana T.,Product 7,2005,1
D. Trump,Product 3,1750,0.6
Meliana T.,Product 10,1425,5
Bart S.,Product 10,2231,5
Bart S.,Product 8,1283,1.15
D. Trump,Product 7,1589,1
Bart S.,Product 5,1318,0.75
Meliana T.,Product 10,2270,5
Winston C,Product 1,1766,0.5
Meliana T.,Product 3,2207,0.6
Vlad P.,Product 4,1395,0.7
Homer J. S.,Product 8,31,1.15
Homer J. S.,Product 8,382,1.15
Vlad P.,Product 2,685,0.55
D. Trump,Product 1,1730,0.5
Homer J. S.,Product 8,265,1.15
D. Trump,Product 1,1845,0.5
Homer J. S.,Product 1,127,0.5
D. Trump,Product 10,1904,5
John Doo,Product 1,2482,0.5
D. Trump,Product 5,2469,0.75
Meliana T.,Product 2,898,0.55
Homer J. S.,Product 3,2004,0.6
D. Trump,Product 9,1578,2
Jack S.,Product 10,886,5
Vlad P.,Product 2,86,0.55
Homer J. S.,Product 7,2375,1
D. Trump,Product 9,868,2
Bart S.,Product 8,1863,1.15
Homer J. S.,Product 10,823,5
John Doo,Product 1,144,0.5
Vlad P.,Product 9,94,2
John Doo,Product 4,797,0.7
D. Trump,Product 8,2203,1.15
Bart S.,Product 3,595,0.6
Meliana T.,Product 1,1327,0.5
Winston C,Product 7,2148,1
Winston C,Product 4,1016,0.7
Homer J. S.,Product 2,50,0.55
